format,commodity,digit,count,observed_pct,expected_pct,residual,interpretation
X (quantity per silver),BARLEY,1,192,0.3503649635036496,0.3010299956639812,0.0493349678396684,observed more than expected
X (quantity per silver),BARLEY,2,90,0.1642335766423357,0.1760912590556812,-0.011857682413345505,observed less than expected
X (quantity per silver),BARLEY,3,57,0.1040145985401459,0.1249387366082999,-0.020924138068154005,observed less than expected
X (quantity per silver),BARLEY,4,47,0.0857664233576642,0.0969100130080564,-0.011143589650392208,observed less than expected
X (quantity per silver),BARLEY,5,44,0.0802919708029197,0.0791812460476248,0.0011107247552948896,good match (~0)
X (quantity per silver),BARLEY,6,38,0.0693430656934306,0.0669467896306132,0.002396276062817407,good match (~0)
X (quantity per silver),BARLEY,7,29,0.052919708029197,0.0579919469776867,-0.005072238948489696,observed less than expected
X (quantity per silver),BARLEY,8,28,0.0510948905109489,0.0511525224473812,-5.763193643230219e-05,good match (~0)
X (quantity per silver),BARLEY,9,23,0.041970802919708,0.0457574905606751,-0.0037866876409671027,good match (~0)
X (quantity per silver),DATES,1,161,0.3194444444444444,0.3010299956639812,0.018414448780463222,observed more than expected
X (quantity per silver),DATES,2,65,0.1289682539682539,0.1760912590556812,-0.04712300508742731,observed less than expected
X (quantity per silver),DATES,3,76,0.1507936507936507,0.1249387366082999,0.025854914185350797,observed more than expected
X (quantity per silver),DATES,4,41,0.0813492063492063,0.0969100130080564,-0.01556080665885011,observed less than expected
X (quantity per silver),DATES,5,43,0.0853174603174603,0.0791812460476248,0.006136214269835502,observed more than expected
X (quantity per silver),DATES,6,27,0.0535714285714285,0.0669467896306132,-0.013375361059184694,observed less than expected
X (quantity per silver),DATES,7,40,0.0793650793650793,0.0579919469776867,0.021373132387392607,observed more than expected
X (quantity per silver),DATES,8,33,0.0654761904761904,0.0511525224473812,0.014323668028809196,observed more than expected
X (quantity per silver),DATES,9,18,0.0357142857142857,0.0457574905606751,-0.010043204846389403,observed less than expected
X (quantity per silver),CUSCUTA,1,28,0.0848484848484848,0.3010299956639812,-0.2161815108154964,observed less than expected
X (quantity per silver),CUSCUTA,2,80,0.2424242424242424,0.1760912590556812,0.0663329833685612,observed more than expected
X (quantity per silver),CUSCUTA,3,55,0.1666666666666666,0.1249387366082999,0.0417279300583667,observed more than expected
X (quantity per silver),CUSCUTA,4,42,0.1272727272727272,0.0969100130080564,0.030362714264670798,observed more than expected
X (quantity per silver),CUSCUTA,5,30,0.0909090909090909,0.0791812460476248,0.011727844861466094,observed more than expected
X (quantity per silver),CUSCUTA,6,49,0.1484848484848485,0.0669467896306132,0.0815380588542353,observed more than expected
X (quantity per silver),CUSCUTA,7,18,0.0545454545454545,0.0579919469776867,-0.003446492432232197,good match (~0)
X (quantity per silver),CUSCUTA,8,26,0.0787878787878787,0.0511525224473812,0.027635356340497498,observed more than expected
X (quantity per silver),CUSCUTA,9,2,0.006060606060606,0.0457574905606751,-0.0396968845000691,observed less than expected
X (quantity per silver),CRESS,1,79,0.2200557103064067,0.3010299956639812,-0.0809742853575745,observed less than expected
X (quantity per silver),CRESS,2,75,0.2089136490250696,0.1760912590556812,0.03282238996938838,observed more than expected
X (quantity per silver),CRESS,3,29,0.0807799442896936,0.1249387366082999,-0.04415879231860631,observed less than expected
X (quantity per silver),CRESS,4,27,0.075208913649025,0.0969100130080564,-0.021701099359031403,observed less than expected
X (quantity per silver),CRESS,5,31,0.0863509749303621,0.0791812460476248,0.0071697288827373,observed more than expected
X (quantity per silver),CRESS,6,15,0.0417827298050139,0.0669467896306132,-0.025164059825599293,observed less than expected
X (quantity per silver),CRESS,7,45,0.1253481894150417,0.0579919469776867,0.067356242437355,observed more than expected
X (quantity per silver),CRESS,8,35,0.0974930362116991,0.0511525224473812,0.046340513764317894,observed more than expected
X (quantity per silver),CRESS,9,23,0.064066852367688,0.0457574905606751,0.018309361807012897,observed more than expected
X (quantity per silver),SESAME,1,107,0.2729591836734694,0.3010299956639812,-0.028070811990511813,observed less than expected
X (quantity per silver),SESAME,2,95,0.2423469387755102,0.1760912590556812,0.06625567971982899,observed more than expected
X (quantity per silver),SESAME,3,62,0.1581632653061224,0.1249387366082999,0.0332245286978225,observed more than expected
X (quantity per silver),SESAME,4,44,0.1122448979591836,0.0969100130080564,0.015334884951127198,observed more than expected
X (quantity per silver),SESAME,5,23,0.0586734693877551,0.0791812460476248,-0.020507776659869706,observed less than expected
X (quantity per silver),SESAME,6,9,0.0229591836734693,0.0669467896306132,-0.04398760595714389,observed less than expected
X (quantity per silver),SESAME,7,20,0.0510204081632653,0.0579919469776867,-0.006971538814421398,observed less than expected
X (quantity per silver),SESAME,8,9,0.0229591836734693,0.0511525224473812,-0.0281933387739119,observed less than expected
X (quantity per silver),SESAME,9,23,0.0586734693877551,0.0457574905606751,0.012915978827079996,observed more than expected
X (quantity per silver),WOOL,1,57,0.1686390532544378,0.3010299956639812,-0.1323909424095434,observed less than expected
X (quantity per silver),WOOL,2,61,0.1804733727810651,0.1760912590556812,0.004382113725383885,good match (~0)
X (quantity per silver),WOOL,3,68,0.2011834319526627,0.1249387366082999,0.07624469534436279,observed more than expected
X (quantity per silver),WOOL,4,77,0.2278106508875739,0.0969100130080564,0.1309006378795175,observed more than expected
X (quantity per silver),WOOL,5,39,0.1153846153846153,0.0791812460476248,0.03620336933699049,observed more than expected
X (quantity per silver),WOOL,6,6,0.0177514792899408,0.0669467896306132,-0.04919531034067239,observed less than expected
X (quantity per silver),WOOL,7,7,0.0207100591715976,0.0579919469776867,-0.0372818878060891,observed less than expected
X (quantity per silver),WOOL,8,18,0.0532544378698224,0.0511525224473812,0.002101915422441203,good match (~0)
X (quantity per silver),WOOL,9,5,0.014792899408284,0.0457574905606751,-0.0309645911523911,observed less than expected
X (quantity per silver),ALL,1,624,0.2525293403480372,0.3010299956639812,-0.048500655315944,observed less than expected
X (quantity per silver),ALL,2,466,0.188587616349656,0.1760912590556812,0.012496357293974802,observed more than expected
X (quantity per silver),ALL,3,347,0.1404289761230271,0.1249387366082999,0.015490239514727194,observed more than expected
X (quantity per silver),ALL,4,278,0.112505058680696,0.0969100130080564,0.015595045672639599,observed more than expected
X (quantity per silver),ALL,5,210,0.0849858356940509,0.0791812460476248,0.005804589646426092,observed more than expected
X (quantity per silver),ALL,6,144,0.0582760016187778,0.0669467896306132,-0.008670788011835392,observed less than expected
X (quantity per silver),ALL,7,159,0.0643464184540671,0.0579919469776867,0.006354471476380408,observed more than expected
X (quantity per silver),ALL,8,149,0.0602994738972076,0.0511525224473812,0.009146951449826399,observed more than expected
X (quantity per silver),ALL,9,94,0.0380412788344799,0.0457574905606751,-0.007716211726195202,observed less than expected
